effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),-0.03684899338301364,0.04089277706727433,-0.9011125197584868,40.09362057682996,0.37290979557804727
fixed,NA,X_a,0.2674912121377575,0.0233713055620469,11.445283252474415,1162.362765600494,8.124841379990558e-29
fixed,NA,X_c,0.354931386074594,0.04723153398693355,7.514712229604583,8.44949905885854,5.1133733889501985e-5
fixed,NA,X_f,0.28410547386931523,0.05772633498963888,4.921592093458011,8.379478488261377,0.001014573668072766
fixed,NA,X_a:X_c,0.4331489520594662,0.03093924150705205,13.99998613284484,1277.976826383842,1.5416010133419099e-41
fixed,NA,X_a:X_f,0.39665514552625347,0.03569900655321139,11.111097585727393,1277.9847130693443,1.912191781378199e-27
fixed,NA,X_c:X_f,0.46193390628137126,0.1145423240810557,4.032866540707559,8.118338228706275,0.0036601350584584726
fixed,NA,X_a:X_c:X_f,0.34871675996840806,0.05162791700697901,6.754422416873198,1278.0118878106207,2.171878646176155e-11
ran_pars,subj_id,sd__(Intercept),0.2266539846089945,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_c,0.2599708299739314,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_f,0.26259988361179826,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_c:X_f,0.22712979058159757,NA,NA,NA,NA
ran_pars,subj_id,sd__X_c,0.275207447589969,NA,NA,NA,NA
ran_pars,subj_id,cor__X_c.X_f,0.2391654810902704,NA,NA,NA,NA
ran_pars,subj_id,cor__X_c.X_c:X_f,0.27788849347235695,NA,NA,NA,NA
ran_pars,subj_id,sd__X_f,0.3095560382146912,NA,NA,NA,NA
ran_pars,subj_id,cor__X_f.X_c:X_f,0.3207847021906653,NA,NA,NA,NA
ran_pars,subj_id,sd__X_c:X_f,0.33965427145102056,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.20872630263938283,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.08028229482904764,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.29854632550727284,NA,NA,NA,NA
fixed,NA,(Intercept),-0.012298903691949265,0.028897513254321962,-0.4256042235782977,43.08227109821574,0.6725148987987593
fixed,NA,X_a,0.3302053821220397,0.023752478468134462,13.901933752514807,1210.8401436198849,7.123218105988222e-41
