effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),-0.015455079393495438,0.034467815761028746,-0.44839160974539677,33.83844800804191,0.656728705858407
fixed,NA,X_a,0.1976911140141863,0.02214612824950888,8.926667080895747,1171.1406861891176,1.6594759570167262e-18
fixed,NA,X_c,0.036501415880063504,0.044559004871976664,0.8191703559120412,8.599586809709963,0.4348025234735974
fixed,NA,X_f,0.14644648859320453,0.05431593525559032,2.6961974953405945,8.438481566649939,0.025966365531061495
fixed,NA,X_a:X_c,0.13552978852556144,0.0329011192254008,4.119306325023976,1277.9429230281246,4.0444185968942165e-5
fixed,NA,X_a:X_f,0.03899338695299759,0.03600681822461068,1.08294453316471,1277.9056793108798,0.2790373341941451
fixed,NA,X_c:X_f,0.07513518986841232,0.10755128208099571,0.6985987374081587,8.107756492095852,0.5043447399479799
fixed,NA,X_a:X_c:X_f,-0.03662132707791761,0.04959227384060132,-0.738448234812247,1278.0939380505788,0.46037768556955583
ran_pars,subj_id,sd__(Intercept),0.21146050472248115,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_c,0.24485004832334892,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_f,0.23012678982426013,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_c:X_f,0.1994853383215797,NA,NA,NA,NA
ran_pars,subj_id,sd__X_c,0.29810570328691816,NA,NA,NA,NA
ran_pars,subj_id,cor__X_c.X_f,0.1618348707664774,NA,NA,NA,NA
ran_pars,subj_id,cor__X_c.X_c:X_f,0.1496970620588918,NA,NA,NA,NA
ran_pars,subj_id,sd__X_f,0.3122587289671793,NA,NA,NA,NA
ran_pars,subj_id,cor__X_f.X_c:X_f,0.23316575183648436,NA,NA,NA,NA
ran_pars,subj_id,sd__X_c:X_f,0.30293957158551144,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.16419850703328798,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.07535437683566702,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.2977010288471232,NA,NA,NA,NA
fixed,NA,(Intercept),0.025215487055585083,0.03152119905673406,0.7999532952474455,46.6835281563465,0.42778986050362966
fixed,NA,X_a,0.12899042628491325,0.0231811311979502,5.564457799036109,1170.1164458168118,3.257777649961085e-8
fixed,NA,X_c,0.14873179894599692,0.027356993898502328,5.436701104580767,9.490982208867718,3.433208198486344e-4
fixed,NA,X_f,0.12040437388389917,0.03329205350690829,3.6166100075176977,9.251799093711938,0.005352648679491336
fixed,NA,X_a:X_c,0.11816528638896266,0.031453704101411246,3.7568003440224675,1278.0328662479706,1.7984986649601032e-4
fixed,NA,X_a:X_f,-0.0060481685015368785,0.036290028230756256,-0.16666199494468784,1277.9860194631117,0.8676623750385739
fixed,NA,X_c:X_f,0.21034439559710644,0.06471808574778241,3.2501640486842422,8.257950429692984,0.011207567290111003
fixed,NA,X_a:X_c:X_f,0.08376126859148116,0.04894092479041141,1.7114770297085153,1278.0191704499036,0.08723571922959726
ran_pars,subj_id,sd__(Intercept),0.22302827155198812,NA,NA,NA,NA
