effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),-0.032337085788177775,0.0298488522848537,-1.0833611114952881,51.81323452350445,0.2836639868246628
fixed,NA,X_a,0.15393172698127477,0.021778874833188584,7.0679375385683345,1241.17867749091,2.6164366669819947e-12
fixed,NA,X_c,0.17290994822362174,0.02483227985646636,6.963112095347772,19.980555099233356,9.329815268549816e-7
fixed,NA,X_f,0.13673810711480378,0.030412502760578986,4.496114910083795,19.978704377535244,2.2127856213029844e-4
fixed,NA,X_a:X_c,0.09433156278516161,0.01625284245847932,5.804004008907845,23339.33971790842,6.558752560400582e-9
fixed,NA,X_a:X_f,0.18052031190818818,0.01986771460120995,9.086113603483836,23341.225462773444,1.1059079946834039e-19
fixed,NA,X_c:X_f,0.22471930782874883,0.060825549588834175,3.694488736193858,19.97941873296957,0.001437507839457089
fixed,NA,X_a:X_c:X_f,0.07060116774189171,0.039731533073025065,1.7769555383661992,23338.123440922158,0.07558857731866671
ran_pars,subj_id,sd__(Intercept),0.2061305923153862,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.16775992492661304,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.05972299583984026,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.36730000271986923,NA,NA,NA,NA
fixed,NA,(Intercept),0.009248037625994014,0.041053499117981514,0.22526795095873706,48.0453053154479,0.8227262727767601
fixed,NA,X_a,0.1456023372705464,0.02207166450122441,6.596799134132779,1242.1723712113799,6.202242689157554e-11
fixed,NA,X_c,0.18644841716847457,0.028109792340481256,6.632863555522177,19.994635896597224,1.8544799950557894e-6
fixed,NA,X_f,0.1303275118276763,0.03442885348166774,3.7854153899452827,19.998190153783867,0.001161526595824149
fixed,NA,X_a:X_c,0.0750964200380064,0.015700522812163345,4.78305219109191,23309.748508410674,1.7370833477037445e-6
fixed,NA,X_a:X_f,0.13822079857766825,0.019250777025931264,7.1800114037725065,23306.298865264347,7.179696917507022e-13
fixed,NA,X_c:X_f,0.17057783596412165,0.06885772170782925,2.4772506515377004,19.998207309294003,0.022289640369528546
fixed,NA,X_a:X_c:X_f,0.29812725722360855,0.038506939188877126,7.742169684307802,23308.09725298937,1.0169724859626522e-14
ran_pars,subj_id,sd__(Intercept),0.21178369749285794,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.24106541578824575,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.06792134181025739,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.35943851358682055,NA,NA,NA,NA
fixed,NA,(Intercept),-0.017905091227892397,0.0312673008775064,-0.5726458864498044,45.34565660961714,0.5697131362801249
fixed,NA,X_a,0.11602082840778383,0.023511420636689567,4.934658360317596,1240.7236343403467,9.121009925699847e-7
fixed,NA,X_c,0.10006731095830654,0.01836808970426035,5.447888842523272,20.000616243641122,2.4766074412505366e-5
fixed,NA,X_f,0.12443290591920485,0.022493868823992732,5.531858787514598,19.992261513131066,2.0527749894330258e-5
fixed,NA,X_a:X_c,0.12690495177831168,0.01682848502648923,7.541079994934438,23259.014174423024,4.831392500515513e-14
fixed,NA,X_a:X_f,0.11503385404515558,0.02059152607120499,5.5864656969751225,23264.215663586143,2.3432833241897077e-8
fixed,NA,X_c:X_f,0.10870785236144083,0.04498738192773432,2.416407617052803,19.991628792633943,0.0253609810889486
fixed,NA,X_a:X_c:X_f,0.10329078746299977,0.041171047502985655,2.508820973173182,23260.383650879372,0.012120231156762242
ran_pars,subj_id,sd__(Intercept),0.21749797226423917,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.18507159419815367,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.04346689213806503,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.36892571781349903,NA,NA,NA,NA
fixed,NA,(Intercept),0.08300051959107144,0.043177135432864625,1.9223257578105777,45.51403294248449,0.06083707881713025
fixed,NA,X_a,0.07759936183902856,0.02224171950950215,3.488910189964243,1240.3188797539854,5.019858787502094e-4
fixed,NA,X_c,0.07339201383245415,0.025160131058474672,2.916996483916707,19.993261453367346,0.008526168671307816
fixed,NA,X_f,0.0894805789654547,0.03081387020356805,2.903905883107582,19.990998946482634,0.00877988974849918
fixed,NA,X_a:X_c,0.05452687858578471,0.016186753736985065,3.368611116952772,23346.580037195035,7.567006626450377e-4
fixed,NA,X_a:X_f,0.1603285054849638,0.019830169010379484,8.085080132249244,23344.096269952617,6.511706104748004e-16
fixed,NA,X_c:X_f,0.19507468728166144,0.061628333101121986,3.165340963572321,19.991767676531445,0.004867684176066473
fixed,NA,X_a:X_c:X_f,0.02146183583159071,0.039669248920462544,0.5410194650930251,23347.36044458486,0.5884993278881376
ran_pars,subj_id,sd__(Intercept),0.21057888250425866,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.25856216949590183,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.06056990078285665,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.362485644104678,NA,NA,NA,NA
fixed,NA,(Intercept),-0.0028719806481862743,0.0388262964266037,-0.07396998716103138,43.1974195654211,0.9413757426056745
fixed,NA,X_a,0.11667260839915221,0.022459285511739098,5.194849512829309,1240.9732568816075,2.3928932502431134e-7
fixed,NA,X_c,0.08911579134160859,0.01850928106360008,4.814654390702491,20.01990089140079,1.0510340544630899e-4
fixed,NA,X_f,0.04340020123968849,0.02267233324181178,1.914236209251321,20.03116461750088,0.06998494886100359
fixed,NA,X_a:X_c,0.04497861465864091,0.016291882574406932,2.76079909447041,23262.50373536529,0.005770530402698065
fixed,NA,X_a:X_f,0.05322069966608154,0.019974050886456037,2.664492043632938,23249.64337256122,0.0077157896515660865
fixed,NA,X_c:X_f,0.10074230413454378,0.04534313889447507,2.2217761405754586,20.02846504206397,0.03798370570541109
fixed,NA,X_a:X_c:X_f,0.10067012900420741,0.039938910619970916,2.5206027766282806,23246.352447532045,0.011722038451310927
ran_pars,subj_id,sd__(Intercept),0.21369266627310032,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.23547045756886192,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.04385731139602094,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.36531422746383974,NA,NA,NA,NA
fixed,NA,(Intercept),0.006461775390691335,0.04147162699360759,0.15581195769549502,45.327793274721564,0.8768730916747689
fixed,NA,X_a,0.07163769421711778,0.022074885279600564,3.245212525897849,1242.813551011508,0.0012048977994524891
fixed,NA,X_c,0.028768366277696935,0.023851656016368922,1.2061370605862238,19.998907013944194,0.24184037239560632
fixed,NA,X_f,0.0115890148439097,0.029209485528261397,0.39675518532145476,19.991495122390166,0.6957515603016626
fixed,NA,X_a:X_c,-0.02371085130824935,0.016059075684302822,-1.4764767147480269,23389.20125475158,0.13982942451835934
fixed,NA,X_a:X_f,0.04170001643426695,0.019662808790045633,2.120755832980369,23385.765327320456,0.03395284985279106
fixed,NA,X_c:X_f,0.013881119070618713,0.05841832034715454,0.23761585386449477,19.990604090401995,0.814597417644127
fixed,NA,X_a:X_c:X_f,0.012253752239034167,0.03932461357502813,0.31160515323704363,23385.059284142837,0.7553433952186065
ran_pars,subj_id,sd__(Intercept),0.2080837485822997,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.24850148490431515,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.05731829769961064,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.3604581569801923,NA,NA,NA,NA
fixed,NA,(Intercept),0.05053232171234688,0.03941849307558124,1.2819445333807136,47.23782521524588,0.20611834631110887
fixed,NA,X_a,0.1465856158595324,0.022404779670183436,6.542604659246455,1241.7454188083796,8.817618600705035e-11
fixed,NA,X_c,0.10648905281846065,0.02586783731788026,4.116658517287555,20.000543149875597,5.355223399294408e-4
fixed,NA,X_f,0.12936733305937237,0.03168124181409242,4.083404742102859,19.99989369057127,5.788650966972601e-4
fixed,NA,X_a:X_c,0.11693358362998443,0.016659916078785007,7.0188579028251805,23332.66517302264,2.298139750231431e-12
fixed,NA,X_a:X_f,0.141523283637224,0.020424421861316697,6.9291206673156935,23321.92875013141,4.3448689442557525e-12
fixed,NA,X_c:X_f,0.18421926477895992,0.0633628801753226,2.907368861220204,20.000393178474106,0.008709407420434813
fixed,NA,X_a:X_c:X_f,-0.009983017573093913,0.04087778087889671,-0.24421623088272093,23332.938884816234,0.8070655044482777
ran_pars,subj_id,sd__(Intercept),0.21170682088457468,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.23250520570014102,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.06224063940363639,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.3775497682511134,NA,NA,NA,NA
fixed,NA,(Intercept),0.0392068024923558,0.035078001646489373,1.11770342243198,53.8991835206575,0.2686509633464107
fixed,NA,X_a,0.15529304759445117,0.02144850150820641,7.2402749224711345,1240.885069508596,7.831578560081145e-13
fixed,NA,X_c,0.13316140349509495,0.0314915866078297,4.228475533906166,20.00005018329062,4.1233251171140866e-4
fixed,NA,X_f,0.09445667158692599,0.038568255928650014,2.4490781165129083,19.998177350061418,0.023664409735777707
fixed,NA,X_a:X_c,0.0716734916578732,0.015854815091337213,4.5206135325434555,23326.80532817886,6.196375583512202e-6
fixed,NA,X_a:X_f,0.046133553561472286,0.0194014459312014,2.3778409982979833,23326.481337274538,0.017422341842323164
fixed,NA,X_c:X_f,0.18810227383519212,0.07713684396763665,2.4385528906797362,19.998521754344853,0.02419784773488101
fixed,NA,X_a:X_c:X_f,0.2197168478559981,0.03881109693758988,5.661186237774042,23329.870063039398,1.520954782744993e-8
ran_pars,subj_id,sd__(Intercept),0.2034089362093399,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.19495048178002577,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.07630788967856639,NA,NA,NA,NA
