id,VISIT,trnum,num,novel,famil,pctnovel,right,left,cent,away,elapse
1,1,1,224,0,196,0,0,224,0,0,22.3
1,1,2,155,0,125,0,0,151,0,4,37.8
1,1,3,153,70,0,100,0,95,0,58,53.1
1,1,4,162,122,6,95.3125,6,149,7,0,69.3
1,1,5,155,87,20,81.30841121,87,20,20,28,84.8
1,1,6,258,119,25,82.63888889,126,41,54,37,110.6
1,1,7,153,126,0,100,0,153,0,0,125.9
1,1,8,154,124,3,97.63779528,16,137,1,0,141.3
1,1,9,213,11,112,8.943089431,11,117,0,85,162.6
1,1,10,154,0,127,0,0,153,0,1,178
1,1,11,156,104,8,92.85714286,8,131,8,9,193.6
1,1,12,167,118,16,88.05970149,19,118,4,26,210.3
1,1,13,158,0,125,0,0,146,10,2,226.1
1,1,14,177,0,110,0,0,128,0,49,243.8
1,2,1,185,22,135,14.01273885,22,147,0,16,18.4
1,2,2,177,1,146,0.680272109,8,166,3,0,36.1
1,2,3,155,129,0,100,0,155,0,0,51.6
1,2,4,153,127,0,100,0,153,0,0,66.9
1,2,5,149,0,122,0,0,149,0,0,81.8
1,2,6,151,0,124,0,0,151,0,0,96.9
1,2,7,148,121,0,100,0,148,0,0,111.7
1,2,8,151,124,0,100,0,151,0,0,126.8
1,2,9,153,0,127,0,0,153,0,0,142.1
1,2,10,158,0,132,0,0,158,0,0,157.9
1,2,11,152,103,0,100,0,127,0,25,173.1
1,2,12,148,110,0,100,11,120,6,11,187.9
1,2,13,180,2,92,2.127659574,2,92,8,78,205.9
1,2,14,174,0,147,0,8,165,0,1,223.3
1,2,15,156,77,7,91.66666667,14,93,3,46,238.9
1,2,16,154,122,0,100,0,122,0,32,254.3
1,2,17,157,0,130,0,0,157,0,0,270
1,2,18,154,0,107,0,0,134,0,20,285.4
1,2,19,152,123,0,100,0,143,0,9,300.6
1,2,20,152,126,0,100,0,152,0,0,315.8
1,2,21,151,124,0,100,125,21,5,0,330.9
1,2,22,157,128,0,100,155,0,0,2,346.6
1,2,23,149,0,123,0,149,0,0,0,361.5
1,2,24,151,4,120,3.225806452,140,7,4,0,376.6
1,2,25,159,0,119,0,9,119,0,31,392.5
1,2,26,194,0,125,0,7,126,0,61,411.9
1,2,27,154,127,0,100,0,154,0,0,427.3
1,2,28,157,131,0,100,0,157,0,0,443
1,2,29,156,0,125,0,3,148,5,0,458.6
1,2,30,152,0,126,0,0,152,0,0,473.8
1,2,31,153,124,0,100,0,151,0,2,489.1
1,3,1,158,2,128,1.538461538,15,140,0,3,15.7
1,3,2,152,65,8,89.04109589,75,17,3,57,30.9
1,3,3,153,123,0,100,11,128,7,7,46.2
1,3,4,165,44,2,95.65217391,6,58,8,93,62.7
1,3,5,162,0,117,0,9,135,6,12,78.9
1,3,6,158,89,0,100,89,0,0,69,94.7
1,3,7,213,145,39,78.80434783,47,150,13,3,116
1,3,8,158,54,47,53.46534653,47,59,9,43,131.8
1,3,9,158,0,0, ,0,18,5,135,147.6
1,3,10,153,72,3,96,72,13,3,65,162.9
1,3,11,158,111,7,94.06779661,12,111,11,24,178.7
1,3,12,158,114,0,100,5,116,0,37,194.5
1,3,13,158,0,122,0,5,141,1,11,210.3
1,3,14,251,0,168,0,0,168,0,83,235.4
1,3,15,152,24,0,100,0,37,0,115,250.6
1,3,16,164,17,112,13.17829457,112,30,21,1,267
1,3,17,154,0,121,0,4,138,12,0,282.4
1,3,18,161,6,111,5.128205128,13,122,23,3,298.5
